Number,Location,Topic,HasDates,People,Summary,Question,Answer
12,"7:20-8:1","Admonitions","No","","The witness testified that they were never convicted of a felony.","And if you don't understand a question, please let me know; otherwise, I have to assume that you understood it. · · · · ·And the following questions we ask everyone and you're not being singled out. · · · · ·Were you ever convicted of a felony?","No."
13,"8:2-5","Admonitions","No","","The witness testified that they were not under the influence of any drugs or alcohol, nor did they have a medical condition that would interfere with their ability to provide truthful and accurate testimony.","And are you under the influence of any drugs or alcohol or medical condition that would interfere with your ability to give truthful and accurate testimony?","No."
14,"8:6-8","Complaints","No","","The witness testified that they have never been a plaintiff or a defendant in a lawsuit.","Have you ever been a plaintiff or a defendant in a lawsuit?","No."
15,"8:9-13","Background","No","","The witness testified that he is sixty-eight years old.","And what's your current age?","Sixty-eight. deponent for his home address, will you stipulate to receiving trial subpoenas on his behalf?"
16,"8:16-21","Documents","No","Mr. Heindel; the plaintiff","The witness, Mr. Heindel, testified that he reviewed a few documents, including emails, in preparation for the deposition, but noted that there were not many emails available since he had never met the plaintiff.","Mr. Heindel, did you review any documents to prepare for the deposition?","When I got the notice for the deposition, I was asked to search for emails, and there aren't many because I've not ever met the plaintiff.· So I looked at a couple of things, but that's the extent of it."
17,"8:22-24","Documents","No","","The witness testified that they did not find any text messages regarding the plaintiff.","Okay. Did you find any text messages regarding the plaintiff?","No."
18,"8:25-9:1","Documents","No","","The witness testified that they searched for text messages.","Did you search for text messages?","Yes."
19,"9:2-4","Witnesses","No","Nandita Patel; Kim Lee","The witness testified that, to their knowledge, they have never text messaged Nandita Patel regarding Kim Lee.","And have you ever text messaged Nandita Patel regarding Kim Lee?","Not to my knowledge."
20,"9:5-7","Witnesses","No","","The witness testified that they did not speak to anyone other than their attorney to prepare for the deposition.","Okay. Did you speak to anyone other than your attorney to prepare for the deposition?","No."
21,"9:8-12","Uncategorized","No","","Not -- well, I am employed. I don't have any responsibilities.· I've stepped down from day-to-day operations quite some time ago.","Mr. Heindel, what is your -- are you currently employed?","Not -- well, I am employed. I don't have any responsibilities.· I've stepped down from day-to-day operations quite some time ago."
22,"9:13-14","Uncategorized","No","","The witness denied this.","Okay. Are you on the board of directors?","No."
23,"9:15-17","Uncategorized","No","","Kurin.","And we're referring -- who was your last employer?","Kurin."
24,"9:18-21","Uncategorized","No","","The witness confirmed this.","And do you currently re- -- are you currently employed by Kurin, meaning do you currently receive a paycheck?","Yes."
25,"9:22-23","Uncategorized","No","","Executive Vice President.","And what's your current job title?","Executive Vice President."
26,"9:24-25","Uncategorized","No","","The witness confirmed this.","And in 2023, were you employed by Kurin?","Yes."
27,"10:1-2","Uncategorized","No","","Vice President Business Development.","And what was your job title in 2023?","Vice President Business Development."
28,"10:3-5","Uncategorized","No","","Marketing international and business development.","And what were your roles and responsibilities in that position?","Marketing international and business development."
29,"10:6-12","Uncategorized","No","","That's quite ambiguous. · · · · ·I hosted training, but other people -- by 2023, other people were running the training. · · · · ·I used to run it back in 2018, '19, but that changed over the years.","Okay. Did you have any responsibilities over training?","That's quite ambiguous. · · · · ·I hosted training, but other people -- by 2023, other people were running the training. · · · · ·I used to run it back in 2018, '19, but that changed over the years."
30,"10:13-14","Uncategorized","No","","The witness denied this.","In 2023, did Nandita Patel report to you?","No."
31,"10:15-16","Uncategorized","No","","Actually, I'm not sure.","Do you know who Ms. Patel reported to?","Actually, I'm not sure."
32,"10:17-21","Uncategorized","No","","Oh. Yeah, I do understand, but then it was definitely Patel.","Okay. In 2023, I believe, Nandita Patel -- her last name was Patel.· It could be different now. · · · · ·Do you understand that?","Oh. Yeah, I do understand, but then it was definitely Patel."
33,"10:22-24","Uncategorized","No","","The witness confirmed this.","Okay. And we're referring to the same person, though; correct?","Correct."
34,"10:25-11:2","Uncategorized","No","","The witness confirmed this.","There's not multiple Nanditas that work at Kurin; correct?","That is correct."
35,"11:3-7","Uncategorized","No","","If that refers -- I did send Anthony a couple of documents if that's what you're asking about.","And, Mr. Heindel, I will introduce Exhibit Number 1 to you.· I guess, before I introduce this:· Did you produce any documents for the deposition today?","If that refers -- I did send Anthony a couple of documents if that's what you're asking about."
36,"11:8-10","Uncategorized","No","","The witness confirmed this.","Okay. And those were in response to the deposition notice?","That is correct."
37,"11:21-22","Uncategorized","No","","The witness confirmed this.","And do you recognize this document?","I do."
38,"11:23-25","Uncategorized","No","","The witness confirmed this.","And this is the document we're referring to that at the bottom asking for requests for documents; correct?","That is correct."
39,"12:1-2","Uncategorized","No","","The witness confirmed this.","And there were 13 requests for documents?","Correct."
40,"12:5-7","Uncategorized","No","","I did not.","And in 2023, Mr. Heindel, did you conduct weekly training meetings with new hire staff?","I did not."
41,"12:8-12","Uncategorized","No","","Not usually. I was no doubt on a couple of those, but at that point, I was no longer handling those weekly calls.","Okay. Did you participate in weekly training meetings with the new hire staff?","Not usually. I was no doubt on a couple of those, but at that point, I was no longer handling those weekly calls."
42,"12:13-17","Uncategorized","No","","I pause because I assume that was happening, but I wasn't following those schedules very closely, but it was our nature to do those calls.","But you're aware that there were weekly training calls that occurred in 2023?","I pause because I assume that was happening, but I wasn't following those schedules very closely, but it was our nature to do those calls."
43,"12:18-21","Uncategorized","No","","I might have been on one or two, but I was not a regular participant.","But yourself, you did not participate in weekly training calls in 2023 with Kim Lee; correct?","I might have been on one or two, but I was not a regular participant."
44,"12:22-13:1","Uncategorized","No","","I'm sorry. I need a clarification on that question.","Okay. And in 2023, did you ever instruct Nandita Patel to not interact with Kim Lee for anything unrelated to training?","I'm sorry. I need a clarification on that question."
45,"13:2-5","Uncategorized","No","","The witness confirmed this.","Sure. · · · · ·We know -- you know who I'm referring to with Nandita Patel; correct?","Correct."
46,"13:6-14","Uncategorized","No","","Nandita and I had a conversation. · · · · ·She called me because she was troubled about a conversation with Kim Lee, and I told her that her responsibility was training. · · · · ·So I could interpret your question as I was directing her to focus on training, but I didn't specifically tell her not to talk to Kim Lee.","In 2023, did you instruct Ms. Nandita Patel to only interact with Kim Lee regarding training?","Nandita and I had a conversation. · · · · ·She called me because she was troubled about a conversation with Kim Lee, and I told her that her responsibility was training. · · · · ·So I could interpret your question as I was directing her to focus on training, but I didn't specifically tell her not to talk to Kim Lee."
47,"13:15-14:2","Uncategorized","No","","Yeah. I'm sorry. That question is just too ambiguous for me to give you a straight yes or no. · · · · ·I specifically recall telling Nandita she -- she was having a phone call with Kim. · · · · ·Kim was complaining about her boss. · · · · ·And I said, ""Nandita, that's not your job.· If she has a complaint about Keith, she should talk to Keith or Keith's boss."" · · · · ·So if that -- I don't know how that fits your question.","Okay. In 2023, did you instruct Nandita Patel that anything other than training was not anything she needed to get involved in?","Yeah. I'm sorry. That question is just too ambiguous for me to give you a straight yes or no. · · · · ·I specifically recall telling Nandita she -- she was having a phone call with Kim. · · · · ·Kim was complaining about her boss. · · · · ·And I said, ""Nandita, that's not your job.· If she has a complaint about Keith, she should talk to Keith or Keith's boss."" · · · · ·So if that -- I don't know how that fits your question."
48,"14:3-5","Uncategorized","No","","This would've been sometime in late June.","Okay. When did you have the discussion with Nandita regarding Kim Lee's concerns?","This would've been sometime in late June."
49,"14:6-15","Uncategorized","No","","She -- all -- it was vague. She said that Kim did not like working for Keith. · · · · ·And I believe she used the word ""jerk.""· I will say, with two years time, if it wasn't the word ""jerk,"" it was a word similar to that, certainly not a compliment. I think it was ""jerk,"" but that was it.· It was a brief conversation. · · · · ·And I just said, ""I don't know why you're in the middle of that.· That's not your training role."".","And what concerns did Nandita escalate to you?","She -- all -- it was vague. She said that Kim did not like working for Keith. · · · · ·And I believe she used the word ""jerk.""· I will say, with two years time, if it wasn't the word ""jerk,"" it was a word similar to that, certainly not a compliment. I think it was ""jerk,"" but that was it.· It was a brief conversation. · · · · ·And I just said, ""I don't know why you're in the middle of that.· That's not your training role."""
50,"14:16-22","Uncategorized","No","","I don't know in what way would she have been -- no, I never heard the word ""harassment."" · · · · ·But in what way do you mean harassment?.","Did Nandita express to you that Kim Lee felt harassed?","I don't know in what way would she have been -- no, I never heard the word ""harassment."" · · · · ·But in what way do you mean harassment?"
51,"14:24-15:1","Uncategorized","No","","Definitely not.","I'm just asking, did she use the word ""harass"" when she expressed her concerns?","Definitely not."
52,"15:2-5","Uncategorized","No","","I -- yeah. I believe what she said was Kim did not like working for Keith, thought he was a jerk.","But you believe she used the word ""jerk"" or something similar to that effect; correct?","I -- yeah. I believe what she said was Kim did not like working for Keith, thought he was a jerk."
53,"15:6-13","Uncategorized","No","","She was certainly one of the people training Kim Lee.· You know, Nandita at that time was still a clinical outcomes director; so this was something she was doing in addition to her other role.· She was not full-time training.· So it wasn't just Nandita.· There were other people involved.","Okay. And at the time Nandita Patel was training Kim Lee; correct?","She was certainly one of the people training Kim Lee.· You know, Nandita at that time was still a clinical outcomes director; so this was something she was doing in addition to her other role.· She was not full-time training.· So it wasn't just Nandita.· There were other people involved."
54,"15:14-18","Uncategorized","No","","I have no involvement in any of the sales decisions.· I was not even aware she was terminated.","And at the time that -- strike that. · · · · ·What was your role in the decision to terminate Kim Lee?","I have no involvement in any of the sales decisions.· I was not even aware she was terminated."
55,"15:19-22","Uncategorized","No","","The witness confirmed this.","Okay. So you -- your testimony today is you had zero input into the decision to terminate Kim Lee; correct?","That is correct."
56,"15:23-16:5","Uncategorized","No","","This occurred I don't remember anything specific. I don't remember a specific date.· I was sent a letter that she sent shortly after her termination, but I can't tell you if that was a day or a week.· That was about the time we were having our sales meeting and that was a responsibility of mine; so I was pretty tied up with the sales meeting.","When did you learn that Kim Lee was terminated?","I don't remember anything specific. I don't remember a specific date.· I was sent a letter that she sent shortly after her termination, but I can't tell you if that was a day or a week.· That was about the time we were having our sales meeting and that was a responsibility of mine; so I was pretty tied up with the sales meeting."
57,"16:6-9","Uncategorized","No","","It's my best estimate that it would have been Bob Rogers.","Do you recall who sent you the email that Ms. Lee sent to Ms. Patel after her termination?","It's my best estimate that it would have been Bob Rogers."
58,"16:10-13","Uncategorized","No","","Don't know. I don't know of any.","Do you know of any investigation that was conducted once Ms. Lee sent that email to Bob Rogers and Nandita Patel?","Don't know. I don't know of any."
59,"16:14-19","Uncategorized","No","","She didn't -- I don't know. She didn't say.","And do you know why Nandita Patel reached out to you to convey her concerns with Kim Lee?","She didn't -- I don't know. She didn't say."
60,"16:21-23","Uncategorized","No","","The witness denied this.","And when you received that information from Nandita Patel, did you escalate it to anyone?","No."
61,"16:24-17:5","Uncategorized","No","","I'm not sure who else Kim -- or I'm sorry.· I'm not sure who else Nandita spoke to about Kim.","Do you know other than yourself who Nandita Patel conveyed the information regarding Kim Lee to?","I'm not sure who else Kim -- or I'm sorry.· I'm not sure who else Nandita spoke to about Kim."
62,"17:7-16","Uncategorized","No","","I do not. break for -- until 2:30, so I can review the documents that were produced, and we'll come back on the record at 2:30. Okay. · · · · · · · (Break taken from 2:22 PM to 2:31 PM) · · ·THE REPORTER:· Back on the record.","And do you know who made the decision to terminate Kim Lee?","I do not. break for -- until 2:30, so I can review the documents that were produced, and we'll come back on the record at 2:30. Okay. · · · · · · · (Break taken from 2:22 PM to 2:31 PM) · · ·THE REPORTER:· Back on the record."
63,"17:18-25","Uncategorized","No","","No. already exchanged in this litigation.· It's text messages between Kim Lee and Nandita Patel. · · · · · · · (Plaintiff's Exhibit No. 2, Text Messages, · · · · · · · ·was marked for identification.).","Mr. Heindel, is there any reason you cannot continue with truthful and accurate testimony?","No. already exchanged in this litigation.· It's text messages between Kim Lee and Nandita Patel. · · · · · · · (Plaintiff's Exhibit No. 2, Text Messages, · · · · · · · ·was marked for identification.)"
64,"18:2-5","Uncategorized","No","","I can read what you have on the screen. You'd have to scroll for me to read the entire thing.","Before I ask questions, Mr. Heindel, can you read the text.","I can read what you have on the screen. You'd have to scroll for me to read the entire thing."
65,"18:6-8","Uncategorized","No","","All right. And I'm sorry. This is from Kim?.","Okay. Let me know when you -- go ahead and read it to yourself.","All right. And I'm sorry. This is from Kim?"
66,"18:9-12","Uncategorized","No","","I'm sorry. I'm not seeing who's right and left here on my screen.· I just see a blue screen.","This is between Kim Lee on the right and Nandita Patel on the left.","I'm sorry. I'm not seeing who's right and left here on my screen.· I just see a blue screen."
67,"18:13-14","Uncategorized","No","","Oh, there we go. Got it, got it, got it. Okay.","When we get down here, there will be more.","Oh, there we go. Got it, got it, got it. Okay."
68,"18:15-17","Uncategorized","No","","You can scroll down. You can scroll down. You can scroll down.· You can scroll down.","It's okay.","You can scroll down. You can scroll down. You can scroll down.· You can scroll down."
69,"18:18-19","Uncategorized","No","","Oh, that's it. Okay.","That's it.","Oh, that's it. Okay."
70,"18:20-22","Uncategorized","No","","The witness denied this.","So my first question is: Have you seen this document before?","No."
71,"18:23-19:5","Uncategorized","No","","So this is dated July 5th. I know I talked to her in June, late June. · · · · ·So, yeah.· This is -- there's a lot in here that is a surprise to me, I was unaware of.","And does this refresh you memory when Nandita Patel reached out to you?","So this is dated July 5th. I know I talked to her in June, late June. · · · · ·So, yeah.· This is -- there's a lot in here that is a surprise to me, I was unaware of."
72,"19:7-11","Uncategorized","No","","I do see that.","Okay. But if Ms. Patel testified in her deposition that ""I did reach out to Matt and other leadership to let them know,"" -- do you see that?· That portion there?","I do see that."
73,"19:12-20","Uncategorized","No","","As I mentioned, she called me in late June, so that is -- if she is referring to that, that is correct.· I have no knowledge of her reaching out to other leadership; that is news.","Is she being truthful about reaching out to Matt, meaning yourself?","As I mentioned, she called me in late June, so that is -- if she is referring to that, that is correct.· I have no knowledge of her reaching out to other leadership; that is news."
74,"19:22-25","Uncategorized","No","","Yes, that's correct.","Okay. And yeah, if somebody says, I did reach out to someone, and they sent that on July 5th, that means it happened sometime before that; correct?","Yes, that's correct."
75,"20:1-9","Uncategorized","No","","No, because none of this was relayed to me from Nandita.· I -- this is all -- all these sentences, all these comments, everything I am reading there, is news to me.","And does the message from Kim Lee that we read at the start of this exhibit refresh your memory about what Nandita Patel conveyed to you?","No, because none of this was relayed to me from Nandita.· I -- this is all -- all these sentences, all these comments, everything I am reading there, is news to me."
76,"20:11-16","Uncategorized","Yes","","I do see that statement.","Okay. And midway through this document, on July 3rd, 2023, it says:· When I first started with Kurin, I asked Keith who can I reach out to about benefits in HR, and he said we don't have an HR department or person. · · · · ·Do you see that statement?","I do see that statement."
77,"20:17-18","Uncategorized","No","","In July of 2023?.","Was that correct in January of 2023?","In July of 2023?"
78,"20:19-21:1","Uncategorized","No","","Oh, okay. Okay. I'm sorry. · · · · ·So that is correct, but there is an employee handbook that I know I had to sign for that tells you what to do for HR things, and that's -- and you would contact Chuck Covington, our CFO.· So yeah.· That's correct.· We didn't have an HR department, but we did have a connection.","Well, she started in January --","Oh, okay. Okay. I'm sorry. · · · · ·So that is correct, but there is an employee handbook that I know I had to sign for that tells you what to do for HR things, and that's -- and you would contact Chuck Covington, our CFO.· So yeah.· That's correct.· We didn't have an HR department, but we did have a connection."
79,"21:2-9","Uncategorized","No","","I do not -- I've not read that entire document since I've signed it.· My recollection is it tells you to take it to the CEO, the CFO, or an Executive VP.","Okay. So the employee handbook in 2023 instructed employees to contact Chuck Covington for sexual harassment?","I do not -- I've not read that entire document since I've signed it.· My recollection is it tells you to take it to the CEO, the CFO, or an Executive VP."
80,"21:11-13","Uncategorized","No","","There is a specific section on harassment for that.","Okay.","There is a specific section on harassment for that."
81,"21:14-20","Uncategorized","No","","I'm sorry. I'm sorry to interrupt. · · · · ·I just realized I'm calling it ""employee handbook.""· I'm old school.· I actually don't think that's what it's called.· I believe it's got the word ""people"" in the title, maybe ""People Guideline"" or something like that.","Okay. And did you --","I'm sorry. I'm sorry to interrupt. · · · · ·I just realized I'm calling it ""employee handbook.""· I'm old school.· I actually don't think that's what it's called.· I believe it's got the word ""people"" in the title, maybe ""People Guideline"" or something like that."
82,"21:21-22","Uncategorized","No","","Just to be clear.","Okay.","Just to be clear."
83,"21:23-25","Uncategorized","No","","It does.","And does that document outline the company's policies and procedures?","It does."
84,"22:1-5","Uncategorized","No","","I see that.","And you can see in this text message from Ms. Patel at the bottom she says:· They said they would look into it and do what they think is best. · · · · ·Do you see that?","I see that."
85,"22:6-10","Uncategorized","No","","She did not ask me to look into anything, so this is again -- I don't know if she talked to other leadership.","Did you -- is that the response you gave to Ms. Patel when she reached out to you?","She did not ask me to look into anything, so this is again -- I don't know if she talked to other leadership."
86,"22:11-17","Uncategorized","No","","No. And I was never asked to. · · · · · · · (Plaintiff's Exhibit No. 3, Responsive · · · · · · · ·Documents, was marked for identification.).","But from your memory, did you ever inform Ms. Lee -- I'm sorry -- Ms. Patel that you would look into it and do what's best?","No. And I was never asked to. · · · · · · · (Plaintiff's Exhibit No. 3, Responsive · · · · · · · ·Documents, was marked for identification.)"
87,"22:19-23","Uncategorized","No","","I mean, if they are what I sent to Anthony, then yes, but you zoomed through it a little quickly.","These are the documents that were produced today. · · · · ·I'm just going to -- I assume you're familiar with them, Mr. Heindel?· There are 12 pages.","I mean, if they are what I sent to Anthony, then yes, but you zoomed through it a little quickly."
88,"22:24-23:3","Uncategorized","No","","The witness confirmed this.","My only question is: On page 9 of the 12 of the documents you produced for today is an email from Nandita Patel to yourself and someone named Ben Phillips. · · · · ·Do you see that?","I do."
89,"23:4-8","Uncategorized","No","","I did not.","And the Subject says: Feedback from Competency Assessment and Next Steps. · · · · ·Did you ask Ms. Patel to email you regarding Kim Lee and her competency assessment?","I did not."
90,"23:9-10","Uncategorized","No","","I have no idea.","Do you know why you received this email?","I have no idea."
91,"23:11-16","Uncategorized","No","","I didn't forward it to anybody. · · · · ·I believe -- and it might be in that thread -- I believe I responded back to her. · · · · ·If you could scan, it might refresh my memory.","And once you received it, did you -- how did you react, or who did you forward it to?","I didn't forward it to anybody. · · · · ·I believe -- and it might be in that thread -- I believe I responded back to her. · · · · ·If you could scan, it might refresh my memory."
92,"23:17-18","Uncategorized","No","","Let's start with up.","Sure. You want me to go up or down?","Let's start with up."
93,"23:19-24:5","Uncategorized","No","","Oh. administrative issue on my end.· I think that was him forwarding the email to us -- Oh, okay. · · · · ·I think we redacted that, but, of course, my assistant didn't redact it the way I would have redacted it.· That's why there's a gap there. Then perhaps scan down.","It looks like the original part of the email was deleted.","Oh. administrative issue on my end.· I think that was him forwarding the email to us -- Oh, okay. · · · · ·I think we redacted that, but, of course, my assistant didn't redact it the way I would have redacted it.· That's why there's a gap there. Then perhaps scan down."
94,"24:8-9","Uncategorized","No","","Oh.","And that's it.","Oh."
95,"24:10-20","Uncategorized","No","","Yeah. I remember being confused when -- if you look at the second paragraph: (As read:) I asked not to forward the original email to Kim primarily withhold managerial observations. · · · · ·Actually, that doesn't make sense to me. · · · · ·I don't know what she is talking about, but it just wasn't that relevant to me; so I didn't even address it.","So the last three pages appear to be Nandita Patel forwarding you an email that was originally an email that she had sent to Kim Lee.","Yeah. I remember being confused when -- if you look at the second paragraph: (As read:) I asked not to forward the original email to Kim primarily withhold managerial observations. · · · · ·Actually, that doesn't make sense to me. · · · · ·I don't know what she is talking about, but it just wasn't that relevant to me; so I didn't even address it."
96,"24:21-25:2","Uncategorized","No","","Certainly not between Nandita and me. I do not know if Ben Phillips was involved other than being copied on this, and if so, did he follow up. · · · · ·That's beyond my knowledge.","Okay. And so -- so there was no follow-up to this email from Nandita to yourself and Ben Phillips; correct?","Certainly not between Nandita and me. I do not know if Ben Phillips was involved other than being copied on this, and if so, did he follow up. · · · · ·That's beyond my knowledge."
97,"25:3-4","Uncategorized","No","","The witness confirmed this.","Okay. And do you know who Ben Phillips is?","I do."
98,"25:5-6","Uncategorized","No","","He is not.","And is he still employed with Kurin?","He is not."
99,"25:7-9","Uncategorized","No","","I believe his -- he worked in marketing for me, and I believe his title was Marketing Manager.","What was his role in June of 2023?","I believe his -- he worked in marketing for me, and I believe his title was Marketing Manager."
100,"25:10-16","Uncategorized","No","","No. You asked that and I'm struggling to remember.· I -- she's worked for different people; so I'm just not sure.· She was clinical outcomes director at the time, so it was probably the director of clinical outcomes, but I don't remember if that was Molly or Abbey.","Do you know who Nandita Patel reported to in June of 2023?","No. You asked that and I'm struggling to remember.· I -- she's worked for different people; so I'm just not sure.· She was clinical outcomes director at the time, so it was probably the director of clinical outcomes, but I don't remember if that was Molly or Abbey."
